"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048660","regulation of smooth muscle cell proliferation","4/10","174/18805",0.0229885057471264,43.2298850574713,12.9086372526815,1.42389853253696e-06,6.05845859489114e-05,1.82761848997953e-05,"IL6/TNF/JUN/STAT1",4
"GO:1903706","regulation of hemopoiesis","5/10","436/18805",0.0114678899082569,21.5653669724771,10.0216886781532,1.49919741487403e-06,6.14306996330231e-05,1.85314268874209e-05,"TNF/FOS/STAT1/STAT3/IRF1",5
"GO:0048659","smooth muscle cell proliferation","4/10","178/18805",0.0224719101123595,42.2584269662921,12.7571941777078,1.55903900873817e-06,6.14306996330231e-05,1.85314268874209e-05,"IL6/TNF/JUN/STAT1",4
"GO:0070741","response to interleukin-6","3/10","46/18805",0.0652173913043478,122.641304347826,19.0528127285409,1.6241859548193e-06,6.14306996330231e-05,1.85314268874209e-05,"IL6/STAT3/NFKB1",3
"GO:0001936","regulation of endothelial cell proliferation","4/10","180/18805",0.0222222222222222,41.7888888888889,12.6833490089043,1.63007921694906e-06,6.14306996330231e-05,1.85314268874209e-05,"TNF/STAT1/STAT3/CCL2",4
"GO:0050673","epithelial cell proliferation","5/10","488/18805",0.0102459016393443,19.2674180327869,9.43113283540377,2.60913849197386e-06,9.38079856249235e-05,2.82984865458051e-05,"IL6/TNF/STAT1/STAT3/CCL2",5
"GO:0001935","endothelial cell proliferation","4/10","203/18805",0.0197044334975369,37.0541871921182,11.9131844078983,2.63145979387579e-06,9.38079856249235e-05,2.82984865458051e-05,"TNF/STAT1/STAT3/CCL2",4
"GO:0010883","regulation of lipid storage","3/10","55/18805",0.0545454545454545,102.572727272727,17.4005020324127,2.7999628800751e-06,9.71881852320805e-05,2.93181708772407e-05,"IL6/TNF/NFKB1",3
"GO:0045637","regulation of myeloid cell differentiation","4/10","220/18805",0.0181818181818182,34.1909090909091,11.4222894600026,3.62249630894971e-06,0.000122514682859094,3.69582619374627e-05,"TNF/FOS/STAT1/STAT3",4
"GO:0032731","positive regulation of interleukin-1 beta production","3/10","62/18805",0.0483870967741935,90.991935483871,16.371325403403,4.02849317840969e-06,0.00013283956255806,4.00729058273385e-05,"IL6/TNF/STAT3",3
"GO:0010573","vascular endothelial growth factor production","3/10","65/18805",0.0461538461538462,86.7923076923077,15.981744788807,4.64878399246522e-06,0.000145993954430039,4.40411115075652e-05,"IL6/TNF/STAT3",3
"GO:0032757","positive regulation of interleukin-8 production","3/10","65/18805",0.0461538461538462,86.7923076923077,15.981744788807,4.64878399246522e-06,0.000145993954430039,4.40411115075652e-05,"IL6/TNF/STAT3",3
"GO:0002685","regulation of leukocyte migration","4/10","236/18805",0.0169491525423729,31.8728813559322,11.0088730475535,4.78617856506219e-06,0.000146813244821326,4.42882618749941e-05,"IL6/TNF/CXCL8/CCL2",4
"GO:1905953","negative regulation of lipid localization","3/10","69/18805",0.0434782608695652,81.7608695652174,15.5021183854004,5.56996446989529e-06,0.00016697234399527,5.03695351583833e-05,"IL6/TNF/NFKB1",3
"GO:0032732","positive regulation of interleukin-1 production","3/10","74/18805",0.0405405405405405,76.2364864864865,14.9578040691622,6.88175638886328e-06,0.00020171192615357,6.08492143857385e-05,"IL6/TNF/STAT3",3
"GO:0001937","negative regulation of endothelial cell proliferation","3/10","79/18805",0.0379746835443038,71.4113924050633,14.4656490682735,8.38334164090459e-06,0.000239275637423438,7.21808315279195e-05,"TNF/STAT1/CCL2",3
"GO:0002534","cytokine production involved in inflammatory response","3/10","80/18805",0.0375,70.51875,14.3727539579519,8.70752888273314e-06,0.000239275637423438,7.21808315279195e-05,"IL6/TNF/STAT3",3
"GO:1900015","regulation of cytokine production involved in inflammatory response","3/10","80/18805",0.0375,70.51875,14.3727539579519,8.70752888273314e-06,0.000239275637423438,7.21808315279195e-05,"IL6/TNF/STAT3",3
"GO:0014823","response to activity","3/10","83/18805",0.036144578313253,67.9698795180723,14.104133160496,9.72961553437172e-06,0.0002619053650987,7.90074043392591e-05,"IL6/TNF/FOS",3
"GO:0042368","vitamin D biosynthetic process","2/10","10/18805",0.2,376.1,27.3671678196536,1.1427357448035e-05,0.00029554283282271,8.91546153840505e-05,"TNF/NFKB1",2
"GO:1903799","negative regulation of miRNA processing","2/10","10/18805",0.2,376.1,27.3671678196536,1.1427357448035e-05,0.00029554283282271,8.91546153840505e-05,"IL6/STAT3",2
"GO:0048708","astrocyte differentiation","3/10","91/18805",0.032967032967033,61.9945054945055,13.4533999860062,1.28357256354313e-05,0.000325583117560267,9.82166860362962e-05,"IL6/TNF/STAT3",3
"GO:0006959","humoral immune response","4/10","309/18805",0.0129449838187702,24.3430420711974,9.54336952598524,1.38879377197429e-05,0.000345626223629074,0.000104262968382579,"IL6/TNF/CXCL8/CCL2",4
"GO:0007249","canonical NF-kappaB signal transduction","4/10","318/18805",0.0125786163522013,23.6540880503145,9.39790130383879,1.55504985363425e-05,0.000366303094693348,0.000110500434774419,"TNF/STAT1/STAT3/NFKB1",4
"GO:0019915","lipid storage","3/10","97/18805",0.0309278350515464,58.159793814433,13.0186753280678,1.55519130423256e-05,0.000366303094693348,0.000110500434774419,"IL6/TNF/NFKB1",3
"GO:0170062","nutrient storage","3/10","97/18805",0.0309278350515464,58.159793814433,13.0186753280678,1.55519130423256e-05,0.000366303094693348,0.000110500434774419,"IL6/TNF/NFKB1",3
"GO:0051607","defense response to virus","4/10","321/18805",0.0124610591900312,23.4330218068536,9.35074623418536,1.61360373051774e-05,0.000373393565009281,0.00011263937398628,"IL6/TNF/STAT1/IRF1",4
"GO:0030656","regulation of vitamin metabolic process","2/10","12/18805",0.166666666666667,313.416666666667,24.970699983629,1.67506174770386e-05,0.000380932145727827,0.000114913491947742,"TNF/NFKB1",2
"GO:0032755","positive regulation of interleukin-6 production","3/10","102/18805",0.0294117647058824,55.3088235294118,12.6858274561635,1.80855194697048e-05,0.000404318647127808,0.000121968356102559,"IL6/TNF/STAT3",3
"GO:0032637","interleukin-8 production","3/10","105/18805",0.0285714285714286,53.7285714285714,12.4975190574819,1.97289779569713e-05,0.000414345404968632,0.000124993067378112,"IL6/TNF/STAT3",3
"GO:0032677","regulation of interleukin-8 production","3/10","105/18805",0.0285714285714286,53.7285714285714,12.4975190574819,1.97289779569713e-05,0.000414345404968632,0.000124993067378112,"IL6/TNF/STAT3",3
"GO:0048545","response to steroid hormone","4/10","338/18805",0.0118343195266272,22.2544378698225,9.09523144902514,1.97673685073191e-05,0.000414345404968632,0.000124993067378112,"IL6/TNF/JUN/FOS",4
"GO:0042362","fat-soluble vitamin biosynthetic process","2/10","13/18805",0.153846153846154,289.307692307692,23.9853113530816,1.97905690015344e-05,0.000414345404968632,0.000124993067378112,"TNF/NFKB1",2
"GO:0002532","production of molecular mediator involved in inflammatory response","3/10","107/18805",0.0280373831775701,52.7242990654206,12.3763585164803,2.08775968546597e-05,0.000430274222676502,0.000129798217287193,"IL6/TNF/STAT3",3
"GO:0042063","gliogenesis","4/10","348/18805",0.0114942528735632,21.6149425287356,8.95354767596156,2.21666700686276e-05,0.000449812889546459,0.000135692328517267,"IL6/TNF/STAT3/CCL2",4
"GO:0032611","interleukin-1 beta production","3/10","111/18805",0.027027027027027,50.8243243243243,12.1438318277918,2.33054435889272e-05,0.000458804180504403,0.000138404676773205,"IL6/TNF/STAT3",3
"GO:0032651","regulation of interleukin-1 beta production","3/10","111/18805",0.027027027027027,50.8243243243243,12.1438318277918,2.33054435889272e-05,0.000458804180504403,0.000138404676773205,"IL6/TNF/STAT3",3
"GO:0071375","cellular response to peptide hormone stimulus","4/10","369/18805",0.010840108401084,20.3848238482385,8.67452391088944,2.7897239524553e-05,0.000541124396071845,0.000163237717341812,"FOS/STAT1/STAT3/NFKB1",4
"GO:1903798","regulation of miRNA processing","2/10","16/18805",0.125,235.0625,21.6044867668046,3.04211269865303e-05,0.00058152849993092,0.000175426178503562,"IL6/STAT3",2
"GO:0019079","viral genome replication","3/10","124/18805",0.0241935483870968,45.4959677419355,11.466619337143,3.24654084938996e-05,0.000611741054335051,0.000184540216702166,"TNF/CXCL8/CCL2",3
"GO:0070920","regulation of regulatory ncRNA processing","2/10","17/18805",0.117647058823529,221.235294117647,20.9543917939077,3.44674974239533e-05,0.000630050776549245,0.000190063599645357,"IL6/STAT3",2
"GO:0002688","regulation of leukocyte chemotaxis","3/10","127/18805",0.0236220472440945,44.4212598425197,11.325126227827,3.48701339560992e-05,0.000630050776549245,0.000190063599645357,"IL6/CXCL8/CCL2",3
"GO:0022612","gland morphogenesis","3/10","127/18805",0.0236220472440945,44.4212598425197,11.325126227827,3.48701339560992e-05,0.000630050776549245,0.000190063599645357,"IL6/TNF/NFKB1",3
"GO:0050900","leukocyte migration","4/10","395/18805",0.010126582278481,19.0430379746835,8.35959568181365,3.6424346634666e-05,0.000639136871900065,0.000192804546967978,"IL6/TNF/CXCL8/CCL2",4
"GO:1903037","regulation of leukocyte cell-cell adhesion","4/10","395/18805",0.010126582278481,19.0430379746835,8.35959568181365,3.6424346634666e-05,0.000639136871900065,0.000192804546967978,"IL6/TNF/IRF1/CCL2",4
"GO:0032612","interleukin-1 production","3/10","131/18805",0.0229007633587786,43.0648854961832,11.1439880547692,3.82549035103086e-05,0.000639136871900065,0.000192804546967978,"IL6/TNF/STAT3",3
"GO:0032652","regulation of interleukin-1 production","3/10","131/18805",0.0229007633587786,43.0648854961832,11.1439880547692,3.82549035103086e-05,0.000639136871900065,0.000192804546967978,"IL6/TNF/STAT3",3
"GO:0097396","response to interleukin-17","2/10","18/18805",0.111111111111111,208.944444444444,20.3591111366244,3.8764935369223e-05,0.000639136871900065,0.000192804546967978,"STAT3/NFKB1",2
"GO:0097398","cellular response to interleukin-17","2/10","18/18805",0.111111111111111,208.944444444444,20.3591111366244,3.8764935369223e-05,0.000639136871900065,0.000192804546967978,"STAT3/NFKB1",2
"GO:0150078","positive regulation of neuroinflammatory response","2/10","18/18805",0.111111111111111,208.944444444444,20.3591111366244,3.8764935369223e-05,0.000639136871900065,0.000192804546967978,"IL6/TNF",2
"GO:0050678","regulation of epithelial cell proliferation","4/10","410/18805",0.00975609756097561,18.3463414634146,8.19131976331761,4.21401192329427e-05,0.000680120777670479,0.000205167913458714,"TNF/STAT1/STAT3/CCL2",4
"GO:0051384","response to glucocorticoid","3/10","136/18805",0.0220588235294118,41.4816176470588,10.928756285387,4.27810986109049e-05,0.000680120777670479,0.000205167913458714,"IL6/TNF/FOS",3
"GO:0031053","primary miRNA processing","2/10","19/18805",0.105263157894737,197.947368421053,19.8113367413505,4.33132261746173e-05,0.000680120777670479,0.000205167913458714,"IL6/STAT3",2
"GO:0060965","negative regulation of miRNA-mediated gene silencing","2/10","19/18805",0.105263157894737,197.947368421053,19.8113367413505,4.33132261746173e-05,0.000680120777670479,0.000205167913458714,"IL6/STAT3",2
"GO:0046632","alpha-beta T cell differentiation","3/10","138/18805",0.0217391304347826,40.8804347826087,10.8459130915625,4.46858148322163e-05,0.000693418703102274,0.000209179418038115,"IL6/STAT3/IRF1",3
"GO:0060149","negative regulation of post-transcriptional gene silencing","2/10","20/18805",0.1,188.05,19.3050560506201,4.81121553125395e-05,0.000721135600650449,0.000217540606556698,"IL6/STAT3",2
"GO:0060967","negative regulation of gene silencing by regulatory ncRNA","2/10","20/18805",0.1,188.05,19.3050560506201,4.81121553125395e-05,0.000721135600650449,0.000217540606556698,"IL6/STAT3",2
"GO:1900369","negative regulation of post-transcriptional gene silencing by regulatory ncRNA","2/10","20/18805",0.1,188.05,19.3050560506201,4.81121553125395e-05,0.000721135600650449,0.000217540606556698,"IL6/STAT3",2
"GO:0050792","regulation of viral process","3/10","142/18805",0.0211267605633803,39.7288732394366,10.6854363672544,4.86608736122127e-05,0.00072116508196077,0.000217549500004925,"TNF/CXCL8/STAT1",3
"GO:0007159","leukocyte cell-cell adhesion","4/10","433/18805",0.0092378752886836,17.3718244803695,7.94999336202772,5.21512626531569e-05,0.000764305727105711,0.000230563476992904,"IL6/TNF/IRF1/CCL2",4
"GO:0042359","vitamin D metabolic process","2/10","21/18805",0.0952380952380952,179.095238095238,18.8352709181627,5.31615083754685e-05,0.000770549775244429,0.000232447081155895,"TNF/NFKB1",2
"GO:0050727","regulation of inflammatory response","4/10","442/18805",0.00904977375565611,17.0180995475113,7.86057402904245,5.65083772739265e-05,0.000810158148090315,0.000244395498965037,"IL6/TNF/STAT3/NFKB1",4
"GO:0009110","vitamin biosynthetic process","2/10","22/18805",0.0909090909090909,170.954545454545,18.3977876442639,5.84610710759069e-05,0.000827485543061257,0.000249622549201672,"TNF/NFKB1",2
"GO:0032102","negative regulation of response to external stimulus","4/10","448/18805",0.00892857142857143,16.7901785714286,7.80241687962769,5.95579715820219e-05,0.000827485543061257,0.000249622549201672,"TNF/STAT3/CCL2/NFKB1",4
"GO:0002687","positive regulation of leukocyte migration","3/10","152/18805",0.0197368421052632,37.1151315789474,10.3119454410267,5.95990345646849e-05,0.000827485543061257,0.000249622549201672,"IL6/TNF/CXCL8",3
"GO:0030099","myeloid cell differentiation","4/10","455/18805",0.00879120879120879,16.5318681318681,7.73597958389459,6.32667271025156e-05,0.000869258469252272,0.000262223934701216,"TNF/FOS/STAT1/STAT3",4
"GO:0010888","negative regulation of lipid storage","2/10","23/18805",0.0869565217391304,163.521739130435,17.9890577979943,6.40106292463297e-05,0.000870412577071225,0.000262572087413051,"IL6/TNF",2
"GO:0031960","response to corticosteroid","3/10","157/18805",0.0191082802547771,35.9331210191083,10.138531167449,6.5625825932185e-05,0.000883270044944409,0.000266450721829924,"IL6/TNF/FOS",3
"GO:0060252","positive regulation of glial cell proliferation","2/10","24/18805",0.0833333333333333,156.708333333333,17.6060559185445,6.98099688391334e-05,0.000911676721770465,0.000275019991883194,"IL6/TNF",2
"GO:0072574","hepatocyte proliferation","2/10","24/18805",0.0833333333333333,156.708333333333,17.6060559185445,6.98099688391334e-05,0.000911676721770465,0.000275019991883194,"IL6/TNF",2
"GO:0072575","epithelial cell proliferation involved in liver morphogenesis","2/10","24/18805",0.0833333333333333,156.708333333333,17.6060559185445,6.98099688391334e-05,0.000911676721770465,0.000275019991883194,"IL6/TNF",2
"GO:0035994","response to muscle stretch","2/10","25/18805",0.08,150.44,17.2461844051045,7.58588759265851e-05,0.00097143550822491,0.000293047062853849,"FOS/NFKB1",2
"GO:0072540","T-helper 17 cell lineage commitment","2/10","25/18805",0.08,150.44,17.2461844051045,7.58588759265851e-05,0.00097143550822491,0.000293047062853849,"IL6/STAT3",2
"GO:0048143","astrocyte activation","2/10","26/18805",0.0769230769230769,144.653846153846,16.9071987288718,8.21571367007712e-05,0.00102231380479545,0.000308395210257115,"IL6/TNF",2
"GO:0072576","liver morphogenesis","2/10","26/18805",0.0769230769230769,144.653846153846,16.9071987288718,8.21571367007712e-05,0.00102231380479545,0.000308395210257115,"IL6/TNF",2
"GO:1904996","positive regulation of leukocyte adhesion to vascular endothelial cell","2/10","26/18805",0.0769230769230769,144.653846153846,16.9071987288718,8.21571367007712e-05,0.00102231380479545,0.000308395210257115,"IL6/TNF",2
"GO:0043434","response to peptide hormone","4/10","494/18805",0.00809716599190283,15.2267206477733,7.39122125961753,8.71160571514488e-05,0.00107340628373951,0.000323807968759057,"FOS/STAT1/STAT3/NFKB1",4
"GO:0060333","type II interferon-mediated signaling pathway","2/10","27/18805",0.0740740740740741,139.296296296296,16.5871480269671,8.87045374735459e-05,0.00107340628373951,0.000323807968759057,"STAT1/IRF1",2
"GO:0070102","interleukin-6-mediated signaling pathway","2/10","27/18805",0.0740740740740741,139.296296296296,16.5871480269671,8.87045374735459e-05,0.00107340628373951,0.000323807968759057,"IL6/STAT3",2
"GO:0032635","interleukin-6 production","3/10","177/18805",0.0169491525423729,31.8728813559322,9.51885340928461,9.37146977577707e-05,0.00110365791377232,0.000332933794665764,"IL6/TNF/STAT3",3
"GO:0032675","regulation of interleukin-6 production","3/10","177/18805",0.0169491525423729,31.8728813559322,9.51885340928461,9.37146977577707e-05,0.00110365791377232,0.000332933794665764,"IL6/TNF/STAT3",3
"GO:0050680","negative regulation of epithelial cell proliferation","3/10","177/18805",0.0169491525423729,31.8728813559322,9.51885340928461,9.37146977577707e-05,0.00110365791377232,0.000332933794665764,"TNF/STAT1/CCL2",3
"GO:0002675","positive regulation of acute inflammatory response","2/10","28/18805",0.0714285714285714,134.321428571429,16.2843274738771,9.55008646764806e-05,0.00110496175884454,0.000333327117707384,"IL6/TNF",2
"GO:0035458","cellular response to interferon-beta","2/10","28/18805",0.0714285714285714,134.321428571429,16.2843274738771,9.55008646764806e-05,0.00110496175884454,0.000333327117707384,"STAT1/IRF1",2
"GO:0002295","T-helper cell lineage commitment","2/10","29/18805",0.0689655172413793,129.689655172414,15.9972397667365,0.000102545904860813,0.0011761569435775,0.00035480413764199,"IL6/STAT3",2
"GO:0002262","myeloid cell homeostasis","3/10","183/18805",0.0163934426229508,30.827868852459,9.35273361345139,0.000103455604402134,0.00117636157074496,0.000354865866279553,"IL6/STAT1/STAT3",3
"GO:0045672","positive regulation of osteoclast differentiation","2/10","30/18805",0.0666666666666667,125.366666666667,15.724563732553,0.000109839444697396,0.00122778158945649,0.000370377431718249,"TNF/FOS",2
"GO:0097421","liver regeneration","2/10","30/18805",0.0666666666666667,125.366666666667,15.724563732553,0.000109839444697396,0.00122778158945649,0.000370377431718249,"IL6/TNF",2
"GO:1905952","regulation of lipid localization","3/10","189/18805",0.0158730158730159,29.8492063492063,9.19444550827704,0.000113836981097525,0.00126177292493811,0.000380631391905037,"IL6/TNF/NFKB1",3
"GO:0060964","regulation of miRNA-mediated gene silencing","2/10","31/18805",0.0645161290322581,121.322580645161,15.465128551486,0.000117381270976646,0.00129021580348497,0.000389211582712036,"IL6/STAT3",2
"GO:0010575","positive regulation of vascular endothelial growth factor production","2/10","32/18805",0.0625,117.53125,15.2178924461354,0.000125171170608492,0.00134228271571221,0.000404918292597433,"IL6/STAT3",2
"GO:0043373","CD4-positive, alpha-beta T cell lineage commitment","2/10","32/18805",0.0625,117.53125,15.2178924461354,0.000125171170608492,0.00134228271571221,0.000404918292597433,"IL6/STAT3",2
"GO:1900368","regulation of post-transcriptional gene silencing by regulatory ncRNA","2/10","32/18805",0.0625,117.53125,15.2178924461354,0.000125171170608492,0.00134228271571221,0.000404918292597433,"IL6/STAT3",2
"GO:0045648","positive regulation of erythrocyte differentiation","2/10","33/18805",0.0606060606060606,113.969696969697,14.9819249502455,0.000133208930622326,0.00139446491659403,0.000420659780912609,"STAT1/STAT3",2
"GO:0048566","embryonic digestive tract development","2/10","33/18805",0.0606060606060606,113.969696969697,14.9819249502455,0.000133208930622326,0.00139446491659403,0.000420659780912609,"TNF/CXCL8",2
"GO:0060147","regulation of post-transcriptional gene silencing","2/10","33/18805",0.0606060606060606,113.969696969697,14.9819249502455,0.000133208930622326,0.00139446491659403,0.000420659780912609,"IL6/STAT3",2
"GO:0000302","response to reactive oxygen species","3/10","201/18805",0.0149253731343284,28.0671641791045,8.89900758092521,0.000136596386294832,0.00140758307439752,0.000424617056080974,"IL6/FOS/STAT1",3
"GO:0046631","alpha-beta T cell activation","3/10","201/18805",0.0149253731343284,28.0671641791045,8.89900758092521,0.000136596386294832,0.00140758307439752,0.000424617056080974,"IL6/STAT3/IRF1",3
"GO:0002363","alpha-beta T cell lineage commitment","2/10","34/18805",0.0588235294117647,110.617647058824,14.7563920673093,0.000141494338166951,0.00143562332340161,0.000433075788073746,"IL6/STAT3",2
"GO:0060966","regulation of gene silencing by regulatory ncRNA","2/10","34/18805",0.0588235294117647,110.617647058824,14.7563920673093,0.000141494338166951,0.00143562332340161,0.000433075788073746,"IL6/STAT3",2
"GO:0035456","response to interferon-beta","2/10","35/18805",0.0571428571428571,107.457142857143,14.5405437784122,0.000150027180510529,0.00151057901598006,0.000455687217621375,"STAT1/IRF1",2
"GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","2/10","36/18805",0.0555555555555556,104.472222222222,14.3337034721066,0.000158807245040533,0.00158686936521563,0.000478701264954716,"IL6/STAT3",2
"GO:0050920","regulation of chemotaxis","3/10","217/18805",0.0138248847926267,25.9976958525346,8.54313896831942,0.00017130183316873,0.00169885051089891,0.000512481938565729,"IL6/CXCL8/CCL2",3
"GO:0002819","regulation of adaptive immune response","3/10","219/18805",0.0136986301369863,25.7602739726027,8.50136167992327,0.000176005647987091,0.00173247350518636,0.000522624783496625,"IL6/TNF/IRF1",3
"GO:0071674","mononuclear cell migration","3/10","230/18805",0.0130434782608696,24.5282608695652,8.281200311523,0.000203387053033651,0.00198716683667693,0.000599456577362339,"IL6/TNF/CCL2",3
"GO:0072539","T-helper 17 cell differentiation","2/10","41/18805",0.0487804878048781,91.7317073170732,13.4150487620464,0.000206408467393664,0.00198724648534483,0.000599480604493314,"IL6/STAT3",2
